"","Country","year","AverageTemperature_2013","AverageTemperature_avg","variance","difference"
"220","Timor Leste",2013,26.3125,25.9675830882353,0.118967676021302,0.344916911764706
"221","Togo",2013,27.718,26.8680789434076,0.722365802439166,0.849921056592414
"222","Tonga",2013,24.285875,23.2217235341597,1.13241834225009,1.06415146584031
"223","Trinidad And Tobago",2013,27.086625,26.1190790519481,0.936145161591745,0.967545948051949
"224","Tunisia",2013,21.887125,19.9730381545338,3.66372845198658,1.91408684546616
"225","Turkey",2013,14.026625,11.6356791490858,5.71662206200385,2.39094585091421
"226","Turkmenistan",2013,18.6135,14.7197258064516,15.1614774703434,3.89377419354838
"227","Turks And Caicas Islands",2013,27.4405555555556,26.6637515997673,0.603424385728273,0.77680395578825
"228","Uganda",2013,24.024625,23.0252143747975,0.998821597767575,0.999410625202461
"229","Ukraine",2013,10.9135,7.60852147883328,10.9228830253734,3.30497852116672
"230","United Arab Emirates",2013,29.370625,27.654287902611,2.94581303187365,1.71633709738899
"231","United Kingdom",2013,8.9975,8.47125458234026,0.276934239607879,0.526245417659744
"232","United Kingdom (Europe)",2013,9.10825,8.63614622347066,0.222881975813263,0.472103776529337
"233","United States",2013,11.2971111111111,8.46327513289036,8.03062635145834,2.83383597822075
"234","Uruguay",2013,16.754375,17.1485545238095,0.155377496990702,-0.394179523809523
"235","Uzbekistan",2013,16.18825,12.2209824324324,15.7392119526735,3.96726756756757
"236","Venezuela",2013,25.912875,25.0260244141414,0.786503961637716,0.886850585858586
"237","Vietnam",2013,25.232125,23.6705978750574,2.43836696193152,1.56152712494261
"238","Virgin Islands",2013,27.3123333333333,26.3363071601732,0.952627090693696,0.976026173160175
"239","Western Sahara",2013,23.74425,22.2180257512096,2.3293604575959,1.52622424879043
"240","Yemen",2013,28.12975,26.2545933977456,3.51621228297837,1.87515660225443
"241","Zambia",2013,21.196,21.2783545276711,0.0067822682279265,-0.0823545276710789
"242","Zimbabwe",2013,20.71075,21.107356768764,0.157296929029389,-0.396606768763959
